Stock,Weight
NEE,0.15859264880565224
KDP,0.10304568125372775
DG,0.08874047877048422
TSLA,0.08847844783368063
CTAS,0.08651065268841569
CHD,0.06127704942734744
MTCH,0.05427705322710278
CPRT,0.05384397646168809
LLY,0.04792537345912784
NFLX,0.04107521600851418
DXCM,0.03862331598385511
COST,0.0383045350268098
TTWO,0.03403972711417557
AMZN,0.03156609424356901
STZ,0.018287716113544024
MNST,0.016051082501224622
ODFL,0.012365754579372243
NVDA,0.009744040147407727
AAPL,0.008217755150206165
DHR,0.004830257969603842
LMT,0.004203143233997057
SLB,2.356623048403911e-14
OXY,2.156380860117844e-14
MOS,2.129896260185846e-14
IVZ,1.9577609070861455e-14
FCX,1.9333541159310846e-14
HAL,1.8461686474288234e-14
APA,1.8221536203983976e-14
DVN,1.7776355476464112e-14
BKR,1.6806089272145066e-14
KR,1.651575453963627e-14
JNPR,1.4765611206658303e-14
TPR,1.3876259554150946e-14
HES,1.3409275155116778e-14
CCL,1.3289745099794206e-14
C,1.1914372927328079e-14
AIG,1.1859610482553833e-14
MGM,1.1561476512435948e-14
WY,1.155731273543963e-14
WDC,1.0949057386214194e-14
WFC,1.0893029636899015e-14
BEN,1.0812010065204402e-14
PRU,1.0679508812961643e-14
MET,1.0588645758827727e-14
PFG,1.0444425870813141e-14
F,1.0034072636687107e-14
JBL,9.997065553851869e-15
HST,9.780268408049973e-15
RCL,9.729221462227483e-15
BWA,9.719998729868683e-15
GE,9.333523472245863e-15
VTRS,8.979833387250094e-15
CVX,8.556865307562035e-15
FSLR,8.55344393468503e-15
WYNN,8.522111322864286e-15
XOM,8.395162286194998e-15
TXT,8.372949717891833e-15
KIM,8.358617549803655e-15
ON,7.887660146049973e-15
SPG,7.769825894064381e-15
