Date,Open,High,Low,Close,Volume
2010-12-31,57.44736695665015,57.85708895845156,57.246100778093954,57.641448974609375,1182100
2011-01-03,58.159004537513646,58.978448693667794,58.159004537513646,58.59029006958008,1718400
2011-01-04,57.73490659959874,58.130254893216545,57.54083001806398,57.82835006713867,1758900
2011-01-05,56.937022789117336,57.85710005851797,56.90108552696166,57.41862487792969,1984100
2011-01-06,57.35394322390534,57.69178534720487,56.922657623901365,57.24612045288086,1618600
2011-01-07,57.4401830264115,57.75645610080017,56.90107483850592,57.188594818115234,1782400
2011-01-10,56.958592847769935,57.382694269490564,56.57043417646578,57.2029914855957,1533300
2011-01-11,57.29643566390929,57.56958192451646,56.74295349570444,57.15267562866211,764600
2011-01-12,57.440180984648315,57.46892859431372,57.174218980462264,57.32516860961914,616500
2011-01-13,57.23174178769084,57.47613492946012,56.87233623749354,57.05922317504883,596800
2011-01-14,57.01608862478394,57.260487217901606,56.65668312274065,56.69981002807617,1479100
2011-01-18,56.82920284730852,57.13829183443033,56.76451248177049,57.023284912109375,924700
2011-01-19,56.79326813212952,56.79326813212952,55.62879214334543,55.86600112915039,1618500
2011-01-20,55.93787386856574,56.42666558599925,55.65034836111786,55.923500061035156,1154200
2011-01-21,56.10322513108457,56.10322513108457,55.49942077688933,55.79413604736328,1008100
2011-01-24,55.880387408533466,56.15353920493444,55.556924525957925,55.887577056884766,731300
2011-01-25,55.607230061833654,55.981009440507876,55.21907138931017,55.945072174072266,1093800
2011-01-26,55.95944043240027,56.333225258087126,55.67910455518174,56.15352249145508,903600
2011-01-27,55.95944075024467,56.16789661881304,55.822870376012,55.88037109375,1391100
2011-01-28,56.05289581601837,56.12477583410473,54.557767309809236,54.65121078491211,1670600
2011-01-31,54.70871514151857,55.5497228412639,54.52182271354394,55.41314697265625,1224400
2011-02-01,55.657531778423696,56.527292365153265,55.542519394678145,56.21101379394531,1725300
2011-02-02,54.05457100980605,56.211003451432745,52.976354788992694,53.00510787963867,5322600
2011-02-03,52.904492825493556,53.961145959277246,52.88292937118665,53.508296966552734,2037200
2011-02-04,53.47955567861761,53.47955567861761,52.696048599816486,53.23515701293945,1373000
2011-02-07,53.22796836137553,53.45798771221672,52.75355036546276,53.271095275878906,1132300
2011-02-08,53.206401222933465,53.249533622992296,52.48040587842131,52.882938385009766,1389700
2011-02-09,52.69605000597098,53.24953772930615,52.53072649262792,53.134525299072266,816100
