,Portfolio Value
2017-03-27,13302.208179021636
2017-03-28,13282.415322225193
2017-03-29,13348.563999648652
2017-03-30,13336.814871478871
2017-03-31,13292.615048114369
2017-04-03,13367.601001143672
2017-04-04,13292.757371027734
2017-04-05,13317.587651881693
2017-04-06,13278.085449962235
2017-04-07,13284.923156298599
2017-04-10,13291.488479501551
2017-04-11,13210.899966734842
2017-04-12,13099.113382183095
2017-04-13,13231.237567418199
2017-04-17,13195.66087843102
2017-04-18,13205.141209635805
2017-04-19,13379.753304403157
2017-04-20,13344.229338092571
2017-04-21,13521.215378655996
2017-04-24,13775.548847555041
2017-04-25,13777.81432593129
2017-04-26,13854.17862016745
2017-04-27,13762.165658939422
2017-04-28,13841.228123878302
2017-05-01,13793.374847845735
2017-05-02,13789.635912268683
2017-05-03,13799.498383142745
2017-05-04,13878.530780309266
2017-05-05,13846.437039178367
2017-05-08,13877.13377439228
2017-05-09,13938.42160723724
2017-05-10,13963.449664358075
2017-05-11,13999.161072651634
2017-05-12,14033.425020865712
2017-05-15,14008.435275189502
2017-05-16,13699.735410023983
2017-05-17,13835.597101071724
2017-05-18,13894.163982040913
2017-05-19,14025.978896065762
2017-05-22,14056.799337678976
2017-05-23,14185.45314940375
2017-05-24,14305.077619385554
2017-05-25,14301.078462298527
2017-05-26,14281.87087419961
2017-05-30,14358.61168951794
2017-05-31,14473.049513680811
2017-06-01,14573.41914993299
2017-06-02,14545.621832125116
2017-06-05,14500.851826450145
2017-06-06,14547.554704463488
2017-06-07,14586.731567285464
2017-06-08,14430.145451659588
2017-06-09,14364.125458703074
2017-06-12,14409.576427005964
2017-06-13,14455.900613428947
2017-06-14,14457.507793690273
2017-06-15,14484.751629733357
2017-06-16,14580.893925405942
2017-06-19,14490.315605608446
2017-06-20,14491.94629301551
2017-06-21,14426.573139032951
2017-06-22,14455.827994401385
2017-06-23,14439.950263047414
2017-06-26,14339.768819082814
2017-06-27,14402.091385035004
2017-06-28,14259.020697294965
2017-06-29,14272.201312769841
2017-06-30,14260.901423942956
2017-07-03,14304.09109350027
2017-07-05,14175.197898994724
2017-07-06,14309.779592789519
2017-07-07,14290.195679556413
2017-07-10,14240.207707581068
2017-07-11,14323.727477321769
2017-07-12,14309.750765756935
2017-07-13,14392.234891685845
2017-07-14,14368.108538952978
2017-07-17,14348.992332142077
2017-07-18,14410.480975924587
2017-07-19,14450.633280642116
2017-07-20,14460.7529104936
2017-07-21,14490.028713534823
2017-07-24,14517.007207574572
2017-07-25,14560.833545853347
2017-07-26,14501.35276990408
2017-07-27,14600.894106813435
2017-07-28,14582.231704892696
2017-07-31,14587.460896507815
2017-08-01,14629.651301401063
2017-08-02,14670.71466524093
2017-08-03,14666.522750604403
2017-08-04,14718.701555533715
2017-08-07,14724.270046808233
2017-08-08,14771.905091080029
2017-08-09,14667.431344036153
2017-08-10,14666.055312832632
2017-08-11,14791.249340452483
2017-08-14,14837.896905119045
2017-08-15,14942.450945439961
2017-08-16,14795.39772739229
2017-08-17,14803.78190490163
2017-08-18,14839.933319543117
2017-08-21,14986.06553118209
2017-08-22,14947.217095452908
2017-08-23,14941.228667967207
2017-08-24,14994.429604055122
2017-08-25,14997.339605946923
2017-08-28,15014.57951338374
2017-08-29,15042.83175289671
2017-08-30,15097.664686564562
2017-08-31,15040.931487223157
2017-09-01,15080.512703921342
2017-09-05,15042.617137398589
2017-09-06,15103.361457210016
2017-09-07,15132.32783112741
2017-09-08,15256.7138712823
2017-09-11,15200.586618571371
2017-09-12,15181.989424672865
2017-09-13,15208.206536826474
2017-09-14,15213.349803809766
2017-09-15,15249.109742481025
2017-09-18,15201.5844340962
2017-09-19,15238.175454087914
2017-09-20,15216.220678445197
2017-09-21,15214.058398131087
2017-09-22,15134.353013460679
2017-09-25,15088.280237691675
2017-09-26,15027.883449310513
2017-09-27,15114.404314870484
2017-09-28,15134.298668231057
2017-09-29,15169.981293257208
2017-10-02,15198.096443825596
2017-10-03,15297.1446648681
2017-10-04,15303.500106305013
2017-10-05,15323.235925997622
2017-10-06,15357.727806515133
2017-10-09,15406.300807862162
2017-10-10,15502.956741365024
2017-10-11,15508.643496193741
2017-10-12,15538.500817715543
2017-10-13,15515.94136456904
2017-10-16,15528.11227859594
2017-10-17,15554.80044106214
2017-10-18,15631.330899164941
2017-10-19,15716.891124146003
2017-10-20,15720.290691623273
2017-10-23,15706.14586914338
2017-10-24,15613.474042032554
2017-10-25,15647.619625268673
2017-10-26,15752.540727121555
2017-10-27,15742.089173029217
2017-10-30,15883.491450471767
2017-10-31,15855.665805338216
2017-11-01,15884.802513292152
2017-11-02,15879.506694066971
2017-11-03,15961.125841875988
2017-11-06,16019.114283401866
2017-11-07,16085.634996681572
2017-11-08,16053.445085711357
2017-11-09,16072.535876080225
2017-11-10,16167.167431021197
2017-11-13,16204.231285463358
2017-11-14,16089.021449669803
2017-11-15,16211.785879263336
2017-11-16,16167.533292398739
2017-11-17,16287.97864870123
2017-11-20,16362.819362271908
2017-11-21,16358.862527021129
2017-11-22,16425.99532322871
2017-11-24,16452.039373408905
2017-11-27,16541.568731050935
2017-11-28,16418.289146140894
2017-11-29,16652.01079471619
2017-11-30,16611.929328823135
2017-12-01,16499.233731147528
2017-12-04,16498.230984459493
2017-12-05,16506.186461264864
2017-12-06,16596.465813190567
2017-12-07,16709.271540736732
2017-12-08,16749.27967437143
2017-12-11,16755.96951084202
2017-12-12,16796.28325986812
2017-12-13,16782.235162852747
2017-12-14,16850.873230849753
2017-12-15,16837.747954817125
2017-12-18,16795.829327781932
2017-12-19,16813.505715059517
2017-12-20,16817.202222344884
2017-12-21,16838.658970632587
2017-12-22,16866.747386679635
2017-12-26,16917.803271722012
2017-12-27,16953.2984837981
2017-12-28,16910.84181123548
2017-12-29,16896.95471929139
2018-01-02,16950.18747217711
2018-01-03,16933.503645137473
2018-01-04,17057.333316486573
2018-01-05,17163.74483615098
2018-01-08,17318.04822596732
2018-01-09,17255.825998113323
2018-01-10,17417.428577108047
2018-01-11,17451.975646324765
2018-01-12,17384.438675180765
2018-01-16,17621.239020792662
2018-01-17,17635.889185360247
2018-01-18,17761.218586914623
2018-01-19,17866.02984457061
2018-01-22,17755.548591261977
2018-01-23,17682.145712341226
2018-01-24,17802.460174921456
2018-01-25,17968.259313557177
2018-01-26,17814.06873023719
2018-01-29,17594.298140451778
2018-01-30,17653.00220470043
2018-01-31,17691.24936244862
2018-02-01,17422.423393730274
2018-02-02,16859.112300318084
2018-02-05,16647.563404783723
2018-02-06,16766.48892066842
2018-02-07,16071.586569830433
2018-02-08,16237.882842760022
2018-02-09,16551.501444858368
2018-02-12,16673.155767178825
2018-02-13,16852.968087457306
2018-02-14,17095.70407277564
2018-02-15,17125.21885765557
2018-02-16,16924.759576454464
2018-02-20,16900.582798567793
2018-02-21,16918.419455351213
2018-02-22,17045.379852501956
2018-02-23,17256.275481639714
2018-02-26,17024.680225978762
2018-02-27,17090.137025669486
2018-02-28,16851.624965836414
2018-03-01,16981.74551318928
2018-03-02,17145.219148501485
2018-03-05,17247.03705491054
2018-03-06,17090.257755745355
2018-03-07,17056.359198466715
2018-03-08,17339.002495526318
2018-03-09,17266.586350689093
2018-03-12,17121.379956265733
2018-03-13,17177.86421141079
2018-03-14,17138.864638111794
2018-03-15,17250.32835261735
2018-03-16,17082.039724821967
2018-03-19,17218.320231572892
2018-03-20,17114.258602641363
2018-03-21,16758.676256701216
2018-03-22,16550.24146171964
2018-03-23,16955.13875069309
2018-03-26,16739.675637721564
2018-03-27,16587.387301115064
2018-03-28,16816.395689608747
2018-03-29,16523.915775382662
2018-04-02,16690.80577877209
2018-04-03,16862.022960058395
2018-04-04,17038.593613187662
2018-04-05,16702.599492733258
2018-04-06,16755.510822394117
2018-04-09,16965.35483030564
2018-04-10,16880.06930195797
2018-04-11,17016.09780972241
2018-04-12,16916.529582107214
2018-04-13,17207.40461461581
2018-04-16,17368.554164202124
2018-04-17,17392.99215111138
2018-04-18,17495.24545886794
2018-04-19,17479.983619340335
2018-04-20,17481.564062779886
2018-04-23,17174.509952401895
2018-04-24,17194.479386494786
2018-04-25,17349.168472896108
2018-04-26,17293.671523399535
2018-04-27,17211.909486266428
2018-04-30,17134.67404203317
2018-05-01,17371.950638038434
2018-05-02,17478.683399764683
2018-05-03,17482.199354316148
2018-05-04,17721.482208303394
2018-05-07,17727.851687165763
2018-05-08,18287.82576222046
2018-05-09,18535.003002520825
2018-05-10,18565.625537419943
2018-05-11,18569.72055742325
2018-05-14,18590.88111493746
2018-05-15,18847.633797130293
2018-05-16,19495.51065367851
2018-05-17,19428.14973009652
2018-05-18,19980.27556337259
2018-05-21,19780.62533296708
2018-05-22,19870.861567557324
2018-05-23,20102.065926397212
2018-05-24,19981.458474556257
2018-05-25,20093.4889528368
2018-05-29,20393.738384172793
2018-05-30,20228.496888952846
2018-05-31,20759.173979640018
2018-06-01,20956.049504832514
2018-06-04,20988.544618488795
2018-06-05,20917.24901893547
2018-06-06,20769.422470375874
2018-06-07,20823.11173404584
2018-06-08,20788.308988065135
2018-06-11,20910.42025148654
2018-06-12,21110.657962242294
2018-06-13,21172.38423801978
2018-06-14,21145.16215739313
2018-06-15,21362.610813694177
2018-06-18,21376.41742964368
2018-06-19,21504.894885691385
2018-06-20,21360.944986505852
2018-06-21,21401.359605467078
2018-06-22,20965.178394936123
2018-06-25,21060.62175779276
2018-06-26,20855.91137326522
2018-06-27,21157.03856690099
2018-06-28,20967.355719481213
2018-06-29,21305.33659762426
2018-07-02,21236.27462494381
2018-07-03,21344.93709834308
2018-07-05,21495.529397976643
2018-07-06,21639.12776532946
2018-07-09,22019.21555033053
2018-07-10,22236.63935992599
2018-07-11,22500.59802045562
2018-07-12,22369.135400969877
2018-07-13,22456.839155283953
2018-07-16,22598.16175450112
2018-07-17,22689.78247774424
2018-07-18,22793.568331732702
2018-07-19,22766.792507961218
2018-07-20,22724.31591507757
2018-07-23,22371.35917346474
2018-07-24,22548.695162018757
2018-07-25,22573.941012334344
2018-07-26,21937.862614427355
2018-07-27,21634.461183092848
2018-07-30,21783.147188237042
2018-07-31,21785.07867936137
2018-08-01,22368.825416231823
2018-08-02,22416.769483291588
2018-08-03,22519.26875478288
2018-08-06,22478.619685409376
2018-08-07,22322.117261820917
2018-08-08,22355.33296194555
2018-08-09,22408.207230242413
2018-08-10,22284.308433809307
2018-08-13,22373.571974766324
2018-08-14,22184.01696377221
2018-08-15,22341.057419402885
2018-08-16,22451.502373162966
2018-08-17,22664.905029333673
2018-08-20,22706.987743589805
2018-08-21,22713.401836464265
2018-08-22,22792.40732677718
2018-08-23,22986.274623483037
2018-08-24,23040.128879728556
2018-08-27,22973.32802184384
2018-08-28,23071.524079164188
2018-08-29,22995.847414661195
2018-08-30,23189.991566568722
2018-08-31,23382.136891801678
2018-09-04,23204.71585089893
2018-09-05,23265.056408101736
2018-09-06,23207.42290031392
2018-09-07,23367.945447753347
2018-09-10,23465.606401887348
2018-09-11,23534.124779033533
2018-09-12,23688.043454822895
2018-09-13,23844.326551425984
2018-09-14,23481.461392563466
2018-09-17,23633.671675454032
2018-09-18,23342.823416844378
2018-09-19,23485.678529241093
2018-09-20,23566.08534234262
2018-09-21,23696.193235734587
2018-09-24,23844.98636178519
2018-09-25,23830.75522988461
2018-09-26,24050.744739730995
2018-09-27,24091.396691454025
2018-09-28,23861.77779704789
2018-10-01,23499.940802474703
2018-10-02,23490.165849242872
2018-10-03,23245.78692300546
2018-10-04,23290.691677304116
2018-10-05,23245.22781950694
2018-10-08,23123.08823830745
2018-10-09,22471.80772299774
2018-10-10,22082.186284242045
2018-10-11,22507.417191475648
2018-10-12,22595.320299988212
2018-10-15,23073.99716505939
2018-10-16,23012.969916516136
2018-10-17,22857.31730557647
2018-10-18,22621.22711600412
2018-10-19,22650.75990276631
2018-10-22,22380.666986458808
2018-10-23,21844.391886743328
2018-10-24,21900.78874516741
2018-10-25,21504.692252216853
2018-10-26,21496.822208181726
2018-10-29,21927.742389007515
2018-10-30,22208.382434350227
2018-10-31,22415.161018143324
2018-11-01,22277.92928423029
2018-11-02,22608.22460537754
2018-11-05,22662.177769159483
2018-11-06,23100.332575753153
2018-11-07,23253.327087729285
2018-11-08,23332.782702371383
2018-11-09,23225.909461437248
2018-11-12,23156.674393747366
2018-11-13,22947.23879681267
2018-11-14,22953.613807561273
2018-11-15,22991.73846713555
2018-11-16,22682.06953683393
2018-11-19,22205.37763629315
2018-11-20,22128.462765892997
2018-11-21,22248.01226426313
2018-11-23,22335.788195741738
2018-11-26,22334.47492818726
2018-11-27,22710.746929995847
2018-11-28,22899.416625168913
2018-11-29,23065.728106727576
2018-11-30,23180.280621621147
2018-12-03,22776.93778257897
2018-12-04,22846.957414209053
2018-12-06,22378.712727042046
2018-12-07,22462.11171054368
2018-12-10,22481.555787400408
2018-12-11,22484.395520049766
2018-12-12,22540.62016308729
2018-12-13,22148.674606377994
2018-12-14,21489.648753940804
2018-12-17,21453.39750016722
2018-12-18,21367.376221700666
2018-12-19,21271.487861094163
2018-12-20,21012.089522247803
2018-12-21,20352.681162807727
2018-12-24,21223.98031584669
2018-12-26,21316.527340120858
2018-12-27,21381.532085210012
2018-12-28,21570.242476219795
2018-12-31,21337.18723256918
2019-01-02,21101.174019323418
2019-01-03,21450.811300463625
2019-01-04,21651.990582023787
2019-01-07,21754.48132981955
2019-01-08,21813.572200826464
2019-01-09,21850.5748561963
2019-01-10,21957.429974692724
2019-01-11,21828.38647652597
2019-01-14,22083.20840470322
2019-01-15,22048.210554858055
2019-01-16,22230.717886199207
2019-01-17,22282.430732083434
2019-01-18,22042.641773825937
2019-01-22,22183.539624796886
2019-01-23,21918.47312178587
2019-01-24,21989.077394165844
2019-01-25,21930.543432628914
2019-01-28,22030.132848383055
2019-01-29,22301.012794237427
2019-01-30,22657.471622359164
2019-01-31,22782.576537186276
2019-02-01,22887.772972434803
2019-02-04,22895.53996482214
2019-02-05,22809.203667146714
2019-02-06,22919.82225248002
2019-02-07,23126.498513987644
2019-02-08,23211.152137462497
2019-02-11,23347.552198615387
2019-02-12,23458.895223858297
2019-02-13,23510.54024312051
2019-02-14,23734.64413177011
2019-02-15,23773.46409693382
2019-02-19,23814.986945179902
2019-02-20,23755.068102359663
2019-02-21,24097.245569482777
2019-02-22,24001.792993796425
2019-02-25,24356.60776139197
2019-02-26,24233.55447642533
2019-02-27,24059.929676199314
2019-02-28,24329.543888896933
2019-03-01,24365.670087786653
2019-03-04,24487.929885320962
2019-03-05,24359.464196544333
2019-03-06,24224.866355408834
2019-03-07,24120.490045804967
2019-03-08,24191.20789972465
2019-03-11,24111.040809829217
2019-03-12,24236.045373223995
2019-03-13,24277.5700463483
2019-03-14,24303.613054235455
2019-03-15,24464.025760407425
2019-03-18,24431.272699525398
2019-03-19,24529.85754297656
2019-03-20,24886.131132930564
2019-03-21,24716.84291828746
2019-03-22,24808.582751955695
2019-03-25,24985.91250675729
2019-03-26,24906.64045832888
2019-03-27,24903.18034679
2019-03-28,25126.30103343846
2019-03-29,25116.265263367226
2019-04-01,25123.1393303357
2019-04-02,25062.174930562902
2019-04-03,24930.324794460783
2019-04-04,25079.179451401735
2019-04-05,25100.497341756214
2019-04-08,24989.58601996332
2019-04-09,25173.472238388807
2019-04-10,25272.677983555135
2019-04-11,25319.607440032687
2019-04-12,25350.49647161413
2019-04-15,25257.47985555461
2019-04-16,25115.11549969496
2019-04-17,25169.247039229038
2019-04-18,24982.637967579252
2019-04-22,25278.601135795834
2019-04-23,25294.464145036825
2019-04-24,25359.8623535636
2019-04-25,25510.9255088424
2019-04-26,25530.368189408386
2019-04-29,25706.42801704345
2019-04-30,25860.096421904465
2019-05-01,25988.3234668648
2019-05-02,26497.84808134021
2019-05-03,26603.53765682127
2019-05-06,26333.40061749935
2019-05-07,26306.373319704544
2019-05-08,26233.826735541636
2019-05-09,26476.287711081237
2019-05-10,26214.77485355342
2019-05-13,26351.743695847017
2019-05-14,26525.792661282256
2019-05-15,26714.17854557787
2019-05-16,26785.113422649418
2019-05-17,26657.109257355114
2019-05-20,26918.058503168417
2019-05-21,27056.980152558484
2019-05-22,26884.13352760416
2019-05-23,26878.101806380546
2019-05-24,26768.89029412292
2019-05-28,26794.938270253024
