,Portfolio Value
2015-09-14,10110.154211737237
2015-09-15,10206.324793927388
2015-09-16,10354.57922787936
2015-09-17,10160.792541792032
2015-09-18,10233.13534293324
2015-09-21,10038.562395509378
2015-09-22,10074.699616498901
2015-09-23,10016.008682699887
2015-09-24,9837.883617092015
2015-09-25,9476.41793018645
2015-09-28,9410.626229847394
2015-09-29,9582.454498182304
2015-09-30,9657.80157983617
2015-10-01,9787.460458851056
2015-10-02,9843.733720041313
2015-10-05,9778.78515317639
2015-10-06,9934.39122858037
2015-10-07,9940.463739173876
2015-10-08,9941.242440169963
2015-10-09,9972.346846838731
2015-10-12,9846.312379258363
2015-10-13,9809.76820261295
2015-10-14,9938.859747545188
2015-10-15,10002.885266160785
2015-10-16,9960.319990107844
2015-10-19,9870.981922016515
2015-10-20,9782.501111324018
2015-10-21,9911.938505529413
2015-10-22,9953.96185410475
2015-10-23,9937.91913746264
2015-10-26,9882.81541740603
2015-10-27,10002.74504186704
2015-10-28,10040.144450466012
2015-10-29,9999.740148433202
2015-10-30,10069.12844944436
2015-11-02,10063.033651381094
2015-11-03,10081.134294822798
2015-11-04,10125.48618821232
2015-11-05,10135.347685328445
2015-11-06,10020.969175696444
2015-11-09,10115.122103124202
2015-11-10,10124.565392790844
2015-11-11,9960.362438595937
2015-11-12,9805.214638953608
2015-11-13,9843.63058073851
2015-11-16,9861.631549016212
2015-11-17,9981.111157429794
2015-11-18,9991.023566993095
2015-11-19,10040.31099381401
2015-11-20,10087.322104024313
2015-11-23,10059.464750392024
2015-11-24,10107.31463741346
2015-11-25,10260.587501799775
2015-11-27,10160.007496406492
2015-11-30,10214.570821690744
2015-12-01,10162.985837900296
2015-12-02,10067.840296633436
2015-12-03,10394.82183510375
2015-12-04,10328.110979708246
2015-12-07,10343.572758287919
2015-12-08,10189.837951062931
2015-12-09,10182.200107446859
2015-12-10,10006.206019685253
2015-12-11,9995.505990541942
2015-12-14,10024.73007779849
2015-12-15,10126.555552439473
2015-12-16,10135.216063027905
2015-12-17,9999.089800252796
2015-12-18,10043.135887698363
2015-12-21,10076.795534457058
2015-12-22,10057.904068100874
2015-12-23,10138.9248073055
2015-12-24,10200.776323887072
2015-12-28,10333.326113794972
2015-12-29,10224.508918050751
2015-12-30,10105.266276890006
2015-12-31,9865.741416123332
2016-01-04,10065.677462518965
2016-01-05,10037.527951671687
2016-01-06,9813.762601415192
2016-01-07,9754.279479477416
2016-01-08,9789.226033407193
2016-01-11,9855.252415644483
2016-01-12,9698.000708354219
2016-01-13,9680.40235579484
2016-01-14,9508.59980012456
2016-01-15,9599.779079692995
2016-01-19,9407.211075430954
2016-01-20,9349.262139677663
2016-01-21,9546.634553837073
2016-01-22,9498.958548891527
2016-01-25,9655.147018783551
2016-01-26,9552.853871528147
2016-01-27,9697.906312915859
2016-01-28,9859.648033243355
2016-01-29,9910.906259044605
2016-02-01,9907.49038794994
2016-02-02,9759.425198911606
2016-02-03,9629.149922939565
2016-02-04,9557.428872349765
2016-02-05,9673.033986116607
2016-02-08,9799.144238995605
2016-02-09,9816.329836560673
2016-02-10,9830.483908807091
2016-02-11,9812.97300244607
2016-02-12,10101.189953438083
2016-02-16,10083.786559740229
2016-02-17,10040.46162632346
2016-02-18,9996.277707617577
2016-02-19,10058.730758603833
2016-02-22,10102.300674841528
2016-02-23,10148.993382079072
2016-02-24,10238.48792538511
2016-02-25,10009.50447124931
2016-02-26,9916.032806581337
2016-02-29,10018.335988271043
2016-03-01,10107.327510972162
2016-03-02,10104.794119067763
2016-03-03,10089.35800019956
2016-03-04,10038.393860109187
2016-03-07,10049.652582645222
2016-03-08,10094.784727768343
2016-03-09,10089.107402099113
2016-03-10,10142.351940353992
2016-03-11,10149.671418365253
2016-03-14,10179.736070573086
2016-03-15,10281.115177114105
2016-03-16,10310.81865477358
2016-03-17,10254.951290640221
2016-03-18,10198.406226757263
2016-03-21,10215.112697870329
2016-03-22,10275.43468399816
2016-03-23,10271.875550183871
2016-03-24,10331.600404045419
2016-03-28,10475.747247281866
2016-03-29,10455.127531208409
2016-03-30,10426.70678078024
2016-03-31,10513.575314750342
2016-04-01,10464.75531646661
2016-04-04,10379.045553578946
2016-04-05,10435.859947976302
2016-04-06,10388.556980262685
2016-04-07,10474.273020538209
2016-04-08,10494.715881541031
2016-04-11,10537.71508321179
2016-04-12,10458.298310115662
2016-04-13,10371.878042566663
2016-04-14,10467.20680967973
2016-04-15,10493.374985085295
2016-04-18,10529.167381777992
2016-04-19,10377.240721565111
2016-04-20,10239.580035160372
2016-04-21,10240.129343662946
2016-04-22,10245.084481773707
2016-04-25,10326.882210111784
2016-04-26,10369.130000328523
2016-04-27,10337.134626064537
2016-04-28,10391.756574111207
2016-04-29,10474.25906368347
2016-05-02,10411.819372469572
2016-05-03,10382.862547462071
2016-05-04,10389.480194683354
2016-05-05,10512.663346668269
2016-05-06,10484.386611633605
2016-05-09,10596.812287515106
2016-05-10,10569.985880993814
2016-05-11,10604.71441310961
2016-05-12,10650.521698452992
2016-05-13,10762.245657080262
2016-05-16,10602.88843313436
2016-05-17,10485.193274998272
2016-05-18,10462.638383612846
2016-05-19,10507.810429136181
2016-05-20,10521.910557369454
2016-05-23,10570.438637430101
2016-05-24,10583.517264272356
2016-05-25,10633.443200639578
2016-05-26,10670.421700685021
2016-05-27,10694.540120955167
2016-05-31,10733.543851521898
2016-06-01,10727.239617034138
2016-06-02,10856.136866766192
2016-06-03,10830.549378702717
2016-06-06,10863.51484125831
2016-06-07,10914.488402311952
2016-06-08,10999.871078661405
2016-06-09,10917.748251016419
2016-06-10,10889.845003713417
2016-06-13,10875.294613647175
2016-06-14,10921.760334672661
2016-06-15,10967.301720189682
2016-06-16,10947.113750683218
2016-06-17,10962.913612059985
2016-06-20,10993.002789035942
2016-06-21,11028.2469744081
2016-06-22,11129.173597901225
2016-06-23,11021.008498931118
2016-06-24,11034.04376468474
2016-06-27,11129.598955860367
2016-06-28,11250.91609796391
2016-06-29,11461.128384520067
2016-06-30,11472.02773807665
2016-07-01,11557.354652361359
2016-07-05,11675.046229459847
2016-07-06,11574.209244876967
2016-07-07,11712.970393941627
2016-07-08,11703.899437131386
2016-07-11,11630.357055416549
2016-07-12,11685.198804533398
2016-07-13,11713.884062171313
2016-07-14,11659.911482838037
2016-07-15,11686.673481546892
2016-07-18,11731.501217631445
2016-07-19,11696.759386641723
2016-07-20,11689.68286832585
2016-07-21,11836.016409187627
2016-07-22,11885.674576988798
2016-07-25,11915.87521975744
2016-07-26,11861.418334014326
2016-07-27,11964.469745776862
2016-07-28,12051.375833746932
2016-07-29,12074.831088764004
2016-08-01,12003.814120143355
2016-08-02,11938.398899619107
2016-08-03,11974.240346586374
2016-08-04,11937.106128893465
2016-08-05,11946.156736552706
2016-08-08,12001.651650695445
2016-08-09,12017.5140416008
2016-08-10,12047.765827311816
2016-08-11,12115.316189135132
2016-08-12,12077.077746550958
2016-08-15,11937.268779970582
2016-08-16,11929.346019265491
2016-08-17,12060.691336348718
2016-08-18,12041.506989690928
2016-08-19,12018.832947950303
2016-08-22,12018.798354253622
2016-08-23,11844.485443772235
2016-08-24,11864.152182358286
2016-08-25,11751.646120741845
2016-08-26,11861.688436643293
2016-08-29,11718.487631082891
2016-08-30,11703.53095545129
2016-08-31,11795.257379607947
2016-09-01,11854.197027377666
2016-09-02,11943.036099019115
2016-09-06,11912.010853320004
2016-09-07,11983.471562663644
2016-09-08,11506.369107786606
2016-09-09,11673.843288116685
2016-09-12,11475.092888840232
2016-09-13,11506.244648495029
2016-09-14,11676.288540350339
2016-09-15,11664.222436978771
2016-09-16,11651.23066006576
2016-09-19,11668.44789623964
2016-09-20,11895.057351225512
2016-09-21,11914.463173939766
2016-09-22,11824.05770323446
2016-09-23,11781.36026086983
2016-09-26,11856.953417025974
2016-09-27,11954.023766052016
2016-09-28,11843.74559590435
2016-09-29,11903.303444520101
2016-09-30,11832.634403688895
2016-10-03,11670.060750434634
2016-10-04,11695.5483312322
2016-10-05,11706.804819700701
2016-10-06,11599.608513840145
2016-10-07,11675.629186505199
2016-10-10,11527.291684858865
2016-10-11,11616.786267131567
2016-10-12,11561.278010375154
2016-10-13,11608.73315774117
2016-10-14,11569.756271806269
2016-10-17,11668.278604336318
2016-10-18,11745.139684923319
2016-10-19,11710.720793219798
2016-10-20,11712.145761462567
2016-10-21,11935.916498805134
2016-10-24,11948.910444853635
2016-10-25,11796.239449495873
2016-10-26,11600.399933244316
2016-10-27,11625.150097201842
2016-10-28,11689.15363008824
2016-10-31,11547.201621798777
2016-11-01,11454.616135047962
2016-11-02,11366.318182429151
2016-11-03,11201.500210137323
2016-11-04,11440.10797797801
2016-11-07,11476.977706569227
2016-11-08,11582.910513900928
2016-11-09,11552.330303169716
2016-11-10,12085.020858916592
2016-11-11,12076.042283076531
2016-11-14,12108.086857916887
2016-11-15,12139.055686852678
2016-11-16,12235.779803925052
2016-11-17,12283.250385534478
2016-11-18,12363.566862396086
2016-11-21,12363.63009810531
2016-11-22,12411.46121511402
2016-11-23,12446.68235566829
2016-11-25,12387.008973927004
2016-11-28,12416.632542328052
2016-11-29,12403.122454092685
2016-11-30,12244.761243158347
2016-12-01,12299.262820127453
2016-12-02,12404.965957933078
2016-12-05,12480.201225512656
2016-12-06,12630.436871143293
2016-12-07,12623.046088938043
2016-12-08,12567.828175801023
2016-12-09,12505.20875297593
2016-12-12,12553.870109555508
2016-12-13,12519.244736464501
2016-12-14,12594.702104770497
2016-12-15,12608.658924998175
2016-12-16,12579.553660948426
2016-12-19,12691.057212541824
2016-12-20,12638.950588871903
2016-12-21,12611.15302042494
2016-12-22,12627.903240184234
2016-12-23,12748.970449670494
2016-12-27,12542.714368959087
2016-12-28,12581.949611744434
2016-12-29,12488.700181426104
2016-12-30,12441.125154912286
2017-01-03,12489.921398872539
2017-01-04,12529.371684589445
2017-01-05,12521.048464270794
2017-01-06,12539.98418121463
2017-01-09,12531.377808204734
2017-01-10,12524.565745530908
2017-01-11,12478.859257833657
2017-01-12,12546.56430826705
2017-01-13,12437.7107015351
2017-01-17,12512.197635069977
2017-01-18,12502.156271405865
2017-01-19,12513.778889729754
2017-01-20,12477.550780971269
2017-01-23,12683.480506746413
2017-01-24,12872.073478647746
2017-01-25,12997.742263226199
2017-01-26,12999.140373830303
2017-01-27,12960.230486873848
2017-01-30,12960.098778423466
2017-01-31,12996.26852812638
2017-02-01,13072.1066587189
2017-02-02,13154.79801177873
2017-02-03,13244.625551530227
2017-02-06,13371.579734040883
2017-02-07,13366.811492747658
2017-02-08,13440.242978458735
2017-02-09,13464.244435229339
2017-02-10,13455.211549877726
2017-02-13,13416.542148658442
2017-02-14,13441.87004024135
2017-02-15,13409.065263127428
2017-02-16,13486.769111651058
2017-02-17,13521.917394018026
2017-02-21,13474.184379777207
2017-02-22,13407.849210987199
2017-02-23,13426.690852374688
2017-02-24,13476.331210756422
2017-02-27,13430.913972004328
2017-02-28,13609.21066198247
2017-03-01,13486.58906693262
2017-03-02,13483.062738413835
2017-03-03,13463.198492443906
2017-03-06,13430.641383587832
2017-03-07,13333.537589269083
2017-03-08,13303.835134627572
2017-03-09,13392.110744698464
2017-03-10,13457.72804305017
2017-03-13,13399.562273486405
2017-03-14,13500.660426184353
2017-03-15,13449.234520033244
2017-03-16,13398.059861009604
2017-03-17,13380.635992496495
2017-03-20,13112.665964888289
2017-03-21,13199.202706889786
2017-03-22,13174.23457489702
2017-03-23,13182.917478437821
2017-03-24,13183.265540573044
