Date,Open,High,Low,Close,Volume
2021-01-04,221.40336373754715,222.50719894036916,214.5218021319851,219.0863037109375,10319900
2021-01-05,218.27085805711846,221.76135645617524,216.77918974014867,220.28958129882812,8657200
2021-01-06,216.7891322122047,219.23547496787197,214.5814618537356,214.94940185546875,9789800
2021-01-07,215.8245210752988,219.4343633539725,215.29746613655476,216.7692413330078,8443100
2021-01-08,218.77805436414508,221.085175675523,218.002387930777,220.8067169189453,7301700
2021-01-11,218.41009001546504,219.35481029214446,215.028965901513,217.03775024414062,7199000
2021-01-12,216.78915804719506,217.0874947857371,212.90087180008433,214.32293701171875,10736000
2021-01-13,215.7947010919357,217.68414171390967,214.3328648060997,216.9681396484375,6839200
2021-01-14,217.01786273327548,218.280812915503,214.35275576344804,214.40248107910156,6548000
2021-01-15,214.96931536011556,216.65986993833366,211.80698546164086,211.95614624023438,8525600
2021-01-19,214.15385830151467,216.07313095671742,212.5130140163059,215.55601501464844,7753800
2021-01-20,220.75698573781366,223.39226052647757,218.74820136315086,222.1989288330078,9857700
2021-01-21,222.4475356612303,223.4917065618117,219.5934816838052,220.93597412109375,6785900
2021-01-22,223.65081320575638,226.52476043208006,222.50720681575902,224.5159912109375,10186100
2021-01-25,228.41420999708856,229.02082241395567,220.09070526440183,224.66514587402344,8213500
2021-01-26,226.53472016621419,226.64410979373955,223.2928176635738,225.00326538085938,5021000
2021-01-27,222.45747582194724,226.54464781067557,220.34925602329653,223.53147888183594,7641100
2021-01-28,223.7502597025688,228.32471552610224,223.7502597025688,225.24192810058594,7246000
2021-01-29,223.41216440430233,227.51921463945732,221.78127413771907,224.30715942382812,6473000
2021-02-01,225.94798308509635,228.62302890384206,223.5016403231155,227.1910400390625,5696700
2021-02-02,230.18432244505564,234.6394344494707,230.0948259835244,232.89915466308594,7134900
2021-02-03,233.69470947219745,234.68915504441958,230.96992314165618,233.51571655273438,5357600
2021-02-04,234.21184479483048,236.90678402104504,234.16211947729855,236.65817260742188,4770700
2021-02-05,237.8216607466233,238.03050100058314,235.09688949594684,237.5631103515625,5020000
2021-02-08,238.17967030802663,239.77078940521028,235.8128999978622,237.60289001464844,4336400
2021-02-09,238.22938417204932,238.74650012987908,234.92783268906456,235.38526916503906,5157200
2021-02-10,236.13109236859242,236.89681968938206,232.66048711700205,235.4051513671875,5535600
2021-02-11,237.60287291719803,241.54088405363586,237.25482607188383,239.90005493164062,6091600
2021-02-12,239.6116618548309,240.21827427163953,237.58299952798316,239.03488159179688,4314400
2021-02-16,243.63915740841566,249.83454887664277,242.4458257946916,247.20921325683594,10837600
2021-02-17,247.20923572245627,248.1141848882663,244.13640236500754,246.28440856933594,5879200
2021-02-18,244.60376855349128,246.6324307608154,241.22265981660624,245.6379852294922,4152800
2021-02-19,246.62251008072752,248.00478886494437,244.61372570956578,245.1905059814453,4647700
2021-02-22,242.90326085169733,243.1618264021106,239.04482249526944,239.6116485595703,5055000
2021-02-23,233.95326731384517,237.63272818755067,227.7379822893909,234.33116149902344,8641600
2021-02-24,234.22175966504741,240.15860082482615,230.22408429699755,239.1343231201172,6128300
2021-02-25,237.20511029482125,239.0150085897445,228.49377220816547,229.79649353027344,8828900
2021-02-26,228.1158731324441,229.21970834357634,215.13835515671002,215.29747009277344,20372900
2021-03-01,218.67857242480764,218.9769091274106,213.83562740661148,216.33168029785156,14027700
2021-03-02,217.1869268544731,217.38582812641678,212.1550342246455,212.28431701660156,10211500
2021-03-03,211.64785430705948,212.13513810320947,204.25911576781667,204.8557891845703,11459000
2021-03-04,205.6911369045855,207.9286396421087,200.39073970992393,204.1895294189453,12800500
2021-03-05,208.84352124641867,211.17053555235987,202.09124209682153,209.58935546875,11406000
2021-03-08,212.43346129296594,213.7063504295266,206.4170776349872,206.5662384033203,9576400
2021-03-09,211.00147088361885,214.59142028963507,209.9970862390572,210.35508728027344,9732200
2021-03-10,213.52734856682605,214.9493984121765,210.5937372448378,210.78268432617188,7186400
2021-03-11,213.80578334610726,216.95817377269833,213.15939983816295,214.75050354003906,6431000
2021-03-12,212.26441388870725,212.66220123988168,208.13747064826032,211.03131103515625,6114600
2021-03-15,210.67332163879226,211.75726377927694,208.3363682404659,211.6180419921875,5733700
2021-03-16,213.6466820414704,215.48641241062828,212.29423546295246,213.28868103027344,5311000
2021-03-17,212.334036137538,213.61686432952973,209.68880710787016,211.93624877929688,5805100
2021-03-18,209.5296921732788,210.20592309529871,207.24246417891484,208.31646728515625,5580100
2021-03-19,208.64462273913276,211.5682951445339,207.90874272827344,211.02134704589844,7088400
2021-03-22,210.30537689372642,215.77482836092668,210.1959872574209,213.97488403320312,5002500
2021-03-23,213.5671289878605,216.22229688658356,213.1395246686143,213.80580139160156,4578000
2021-03-24,213.93508171766337,214.08424248451695,208.246851806439,208.36618041992188,4617700
2021-03-25,205.02484545084963,207.01373663066954,203.23484035420464,204.2989044189453,7977200
2021-03-26,204.49778522295136,208.24684924885867,203.63262243775551,207.92861938476562,7333200
2021-03-29,207.84907022483424,210.4744060123753,204.84585542612572,209.59930419921875,5686900
2021-03-30,207.48112578812788,210.11640051292989,206.20823665606855,208.8335723876953,4717900
2021-03-31,209.2711264000541,212.48318131512505,208.942957543859,210.69317626953125,6838000
2021-04-01,212.41357070884933,217.71395201640647,212.18483731225692,217.505126953125,7763500
2021-04-05,218.39019055114966,220.60779990642484,217.71395967826425,219.06640625,5553200
2021-04-06,218.59903403655852,220.3194206361715,217.03774719701102,219.86196899414062,5448500
2021-04-07,220.72714381210415,221.4431306572612,218.17141143198094,219.56362915039062,4403400
2021-04-08,221.76136504469375,224.45631925163306,221.21441693914863,223.20330810546875,6169100
2021-04-09,223.08396791850427,230.02519348014943,222.38785908121054,229.995361328125,7319300
2021-04-12,228.2451682830511,228.5733371662016,225.88832179024953,227.4893798828125,6205700
2021-04-13,227.728058255952,232.19312477349266,227.23083542133202,230.71139526367188,5397100
2021-04-14,231.55666842270537,231.84505097560086,226.39549323294187,226.7534942626953,4617600
2021-04-15,228.59320620846307,231.78538327489366,228.22526619055753,231.70582580566406,5073900
2021-04-16,232.70025951323734,232.70025951323734,228.61308768149215,230.6218719482422,5088700
2021-04-19,229.54788017331637,230.9102657926188,227.59876011645747,229.21971130371094,4257700
2021-04-20,228.72247940990604,230.1644224409441,225.62975310309764,226.69381713867188,4081200
2021-04-21,225.84852388230655,229.50807613227036,225.41096542328165,229.27935791015625,4024000
2021-04-22,228.72247960229404,232.59087223730188,227.73797303178807,230.0649871826172,4975400
2021-04-23,231.64617130855405,234.1820107417721,230.46277856144988,232.21299743652344,5447100
2021-04-26,232.7400497484103,234.49028377746558,231.12905267533554,234.1521759033203,3459600
2021-04-27,234.15217569503923,234.58971902787766,230.6218906589768,232.90911865234375,3445200
2021-04-28,233.69470750380952,237.00621305230092,232.2328713110331,235.56427001953125,4274500
2021-04-29,236.0018235403974,236.34987037601488,230.88041988969795,233.05825805664062,4140800
2021-04-30,231.50694663161482,233.19750117461933,228.24516616599507,229.0407257080078,5024800
2021-05-03,229.48820878783783,230.17437866003058,221.83098092195965,222.5171356201172,5835700
2021-05-04,220.43876017263108,220.76692905021167,213.1693650718415,215.97369384765625,6727500
2021-05-05,217.60458467244766,218.35041884227527,213.6466804192571,214.2035675048828,4205800
2021-05-06,214.6113035698275,217.06758542790146,212.31413665030922,216.8388671875,5200000
2021-05-07,219.28519144338634,220.021086642153,213.8952981700312,215.29747009277344,5774700
2021-05-10,214.3030233290613,214.7604749742279,212.045627604893,212.70196533203125,5263700
2021-05-11,207.83912559974064,215.36708590141174,207.7496291395762,214.36268615722656,6097900
2021-05-12,212.1550102708066,212.18484242342257,207.83912021996892,209.3705596923828,5482500
2021-05-13,211.78707800705922,214.4422459050916,209.30096403803617,210.68324279785156,5337000
2021-05-14,213.0003070743383,217.05764697336673,212.96052075258274,216.45103454589844,4429000
